user_name,signature,verified,basic_stats,collabs,music_collabs,hashtags
oli_griffiths,"Insta: OGriffiths 
Singer in London",False,"follower_count : 89
following_count : 428
likes_count : 152
video_count : 8
last_active : 2021-12-04
freq_post : 67 days
",swinglesingers,"swinglesingers : https://tiktok.com/@oli_griffiths/video/6862714356396805381 (mention, vidéo num: 7)
","instruments : 
styles : 
others : livemusic, singer, lauramvula, pinknoise, fyp, music, musictok, acappella, thewestwing, acapella, harrypotter, shapeshifter, planttok, propagation, propagationstation, red, blue, theswingles, swinglesingers
"
jonsmithmusic_,I’m just here so I can understand my friends’ references,False,"follower_count : 305
following_count : 259
likes_count : 1384
video_count : 29
last_active : 2021-03-12
freq_post : 7 days
","theonlyshamsyouknow
sia
jimhogan220
thehyannissound",,"instruments : 
styles : 
others : fyp, vocals, duet, trio, vocalsonly, acapella, singing, musicians, singersoftiktok, trending, 25daysofriffmas, singwithme, foryou, foryoupage, 4u, 25daysofchristmas, challenge, cute, nephew, alliwantforchristmasisyou
"
joshhawkinsguitar,Welsh Guitarist based in London 🏴󠁧󠁢󠁷󠁬󠁳󠁿🎸🙏,False,"follower_count : 152
following_count : 36
likes_count : 1268
video_count : 99
last_active : 2021-12-16
freq_post : 5 days
","conor_albert
sidiqmusic
joenixyourfood
branmazz
ot.peter
mannybass_",,"instruments : guitar (3), bass (1), piano (2)
styles : jazz (2), rap (1), hiphop (3), groove (9), neosoul (2), lofi (1)
others : beats, guitarist, guitarbeat, newmusic, musician, lofi, chillhop, lofibeat, basstok, bassbeat, jungle, drumnbass, producer, guitartok, beatmaker, suhr, sadbeat, darkbeat, muso, spookyblack
"
legendaryriffs,"The BEST vocal acrobatics on Tik Tok 🗣🎶
IG: @legendaryriffs (37k🖤)
Don’t 😴🔥",False,"follower_count : 20900
following_count : 28
likes_count : 180000
video_count : 21
last_active : 2021-02-19
freq_post : 1 days
","itsmakenzietw
noazart
petercollinsmusic
katrinavelarde
theclarkbeckham
sammiejaymusic
seahogsarah
gabbrielhenrique
jhocampanelli
beresix_
aneshaisaplus
amayamusic0fficial
jermarcusriggins
szivsz",,"instruments : 
styles : 
others : fyp, singing, vocals, viral, music, yebba, yebbasmith, viraltalent, duo, foryou, bryanwilson, sang, riffsandruns, groupchat, minieriperton, whistletone, joshualedet, terrellgrice, melisma, talent
"
samohtmusic,Spiritual being having a human experience 🌊,False,"follower_count : 25500
following_count : 205
likes_count : 599100
video_count : 63
last_active : 2021-12-24
freq_post : 9 days
","linanfeng2
cynthiaerivo
demariusr_copes
its.jackunion
nocapshows",,"instruments : 
styles : 
others : singing, acoustic, acoustics, vocals, samoht, samohtmusic, mxxnwave, atl, thiskeywashigh, canwetalkchallenge, randbmoney, tankchallenge, tevincampbell, randb, unioncity, rudeboy, whatstheweatherlike, whatstheweather, zaraman, allleather
"
cameronwrightofficial,"Instagram: @cameronwrightoffical
#TheMachine
Take 5: A-Side/B-Side OUT NOW!!! 🕹",False,"follower_count : 4793
following_count : 17
likes_count : 19300
video_count : 5
last_active : 2021-10-13
freq_post : 68 days
",,,"instruments : 
styles : 
others : spell, iputaspellonyou, halloween, singing, arethafranklin, whitneyhouston, theclarksisters, riffs, runs, newmusic, singingmachine, randb, take5, takefive, singer, brandy, jazminesullivan, samoht, cameronwright, jazminesullivanchallenge
"
georgelovett,,False,"follower_count : 3753
following_count : 0
likes_count : 5143
video_count : 7
last_active : 2022-01-05
freq_post : 79 days
","brandinjay
amberbullock_",,"instruments : 
styles : rnb (1)
others : runchallenge, itwillbesogoodchallenge, sogoodchallenge, canwetalkchallenge, rnb, rnbvibes, whistle, whistlechallenge, inlovewithanothermanchallenge, nothingon, tank, georgelovettrunchallenge
"
fro_dera,professionally winging it  @ life - pro notion babe/consultant,False,"follower_count : 120
following_count : 520
likes_count : 574
video_count : 61
last_active : 2022-01-22
freq_post : 1 days
","melanated__mel
_jerryko_
notionhq
fro_dera
giphy
reallittlesimz","fro_dera : https://tiktok.com/@fro_dera/video/7043440042617949446 (mention, vidéo num: 17)
","instruments : 
styles : rap (1)
others : curlyhair, sportsdirect, fyp, afrobohemian, livingroom, interior, interiors, apartmenttour, aesthetic, entrepreneurtok, relatable, softlife, duet, africanparents, africanmums, afcon, wfh, enjoyyourselfbabyboo, journal, journaltour
"
itsv1fundz,"God first🕊
Go follow my insta 🎒
 Snapchat: xil_vic",False,"follower_count : 235
following_count : 2904
likes_count : 258
video_count : 18
last_active : 2022-01-20
freq_post : 4 days
",,,"instruments : 
styles : 
others : v1fundz, fyp, foryou, music, artist, viral, happynewyear, merrychristmas, altogetherdifferent, sza, customersmostloved, viralvideo, fypシ, happysundaygodblessus😇🙏, xyzbca, christian, tkmaxxtalentshow, sportsdirectnaughtylist
"
sleepy..bat,Autistic🦇🌙 he/they 🏳️‍🌈 21🦋🐝✨,False,"follower_count : 2953
following_count : 1632
likes_count : 75500
video_count : 153
last_active : 2022-01-10
freq_post : 12 days
",cclecombe_,,"instruments : 
styles : 
others : art, fypシ, ilustration, actuallyautistic, musa, winx, digitalart, painting, artist, foruyou, illustration, enby, spooky, autistic, soft, nonbinary, hethey, plant, monstera, planttiktok
"
