Id,Label,poids,style,instrument
127,kurouchiha99,3,,
128,jellynote.official,2,,3
129,zionmiller,4,,
130,juliankenn2,7,0,
131,gailabattle,2,3,
132,kenjameskubota,4,0,0
133,tianaguitar,2,9,0
134,swanlikethebird_,1,0,0
135,lukecwild,0,8,0
136,landon.conrath.music,2,2,0
137,its.tysm,1,4,
138,kitsunemusique,3,1,
139,skillshare,2,4,
140,bydney.y,2,4,
141,pblopez_,0,,
142,nicmedeirosof,0,,
143,denyosworld,1,2,
144,_kbglobalmusic,0,16,
145,youbettasing_,1,16,
146,luckydaye,0,6,
147,xd0bama,0,,
148,cbd215,2,0,2
149,prpletrtle,11,0,5
150,jaredstn,2,4,
151,codydearmusic,0,0,0
152,gold86star,2,4,
153,jakebarokas,2,0,0
154,nathe.man,3,,
155,saxspy,2,0,0
156,jessicafarmer_trumpet,2,19,1
157,shortbeardedtrombonist,5,3,1
158,mneufeldmusic,0,0,2
159,blackholetaxicab,1,1,
160,codyashdrums,1,2,3
161,ashvandergrift,1,0,0
162,simulation_integration,1,0,2
163,reverendguitars,0,18,0
164,dietlite_evan,5,2,0
165,joshuastarkman,4,0,0
166,russellahall,0,0,2
167,thedeadbeetsband,0,2,0
168,santiago_music,7,8,
169,keepitinside,6,2,
170,stevencarter365,7,0,
171,zevyjones,2,4,
172,hexbugoverlord,3,,
173,lordfirepleb,0,,
174,muse,6,2,0
175,matthaugheymusic,1,,
176,arthurcaplan,2,,
177,bobulouslv99,3,4,
178,ilwe.io,0,,0
179,ryandongofficial,2,1,3
180,mabotttt,1,4,0
181,fifthstreetmusic,2,4,
182,matt_parris,1,2,2
183,lexiweakley,6,,0
184,loganreecefromsayso,1,2,0
185,horses_to_the_moon,0,15,1
186,js__jazz,0,0,3
187,tk_bass,4,0,0
188,dkid112,1,4,
189,brianfranks5150,13,,1
190,jamesbaymusic,2,,0
191,theblackkeys,0,13,
192,ehianeo,1,6,
193,christianinmanmusic,0,,2
194,shalloumusic,0,19,
195,chaunceytrask,4,2,
196,j.oshuapierce,3,0,2
197,yaverbalex,1,4,
198,kingkarim_kamar,0,0,2
199,chrismazuera,2,0,0
200,tic2datoc,5,4,
201,1achord,3,16,
202,kxng_zay1,0,7,
203,noguidnce,4,4,
204,theebube,1,4,
205,thezeekay,1,,
206,kacibrookz,1,6,
207,joshlomat,1,3,
208,danfabervocalstudio,5,3,
209,ariellebeatrix,3,4,
210,shaan.ramaprasad,5,0,7
211,shelbierassler,0,,
212,athingcreated,0,10,2
213,dayglowband,0,,
214,m126442,0,,0
